Image File,Prediction (grid_based),Prediction (object_detection),Prediction (lime_on_image),Prediction (lime_on_latent),Prediction (lime_on_latent_nun)
town7_008741.png,GO,GO,GO,GO,STOP
town7_008831.png,LEFT,LEFT,GO,LEFT,GO
town7_008836.png,LEFT,LEFT,GO,LEFT,GO
town7_008841.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008842.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008843.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008853.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008854.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008909.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_008915.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_008920.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008922.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008928.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008932.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008933.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008940.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008943.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008946.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008950.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008952.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009050.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_009058.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009063.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009068.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009070.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_009074.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_009078.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_009088.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_009104.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009105.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009106.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009115.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009127.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_009152.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009153.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009158.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009163.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009166.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009333.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009349.png,RIGHT,RIGHT,RIGHT,LEFT,GO
town7_009353.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009358.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009361.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009362.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009364.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009376.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_009383.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_009385.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_009389.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_009397.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_009411.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009416.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009422.png,LEFT,GO,LEFT,GO,GO
town7_009426.png,LEFT,GO,LEFT,LEFT,GO
town7_009429.png,LEFT,GO,LEFT,GO,GO
town7_009434.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009435.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009554.png,GO,GO,GO,GO,STOP
town7_009556.png,GO,GO,GO,GO,STOP
town7_009576.png,GO,GO,GO,GO,STOP
town7_009585.png,GO,LEFT,LEFT,LEFT,GO
town7_009588.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009592.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009645.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_009646.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_009648.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_009650.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_009713.png,RIGHT,GO,RIGHT,GO,GO
town7_009714.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_009720.png,LEFT,LEFT,LEFT,LEFT,GO
town7_009808.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_009809.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_009810.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_009812.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_009860.png,GO,GO,GO,STOP,GO
town7_009885.png,STOP,GO,STOP,STOP,GO
town7_010084.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_010093.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_010095.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_010096.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_010190.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_010194.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_010200.png,LEFT,LEFT,LEFT,LEFT,GO
town7_010423.png,GO,GO,GO,GO,STOP
town7_010427.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_010428.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_010706.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_010708.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_010711.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_010809.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_010812.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_010814.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_010840.png,GO,GO,STOP,GO,STOP
town7_010978.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_010982.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_010983.png,RIGHT,RIGHT,LEFT,RIGHT,GO
town7_011020.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_011081.png,GO,GO,STOP,GO,GO
town7_011092.png,GO,GO,GO,GO,STOP
town7_011124.png,STOP,STOP,GO,STOP,GO
town7_011125.png,STOP,STOP,GO,STOP,GO
town7_011126.png,STOP,GO,GO,STOP,GO
town7_011161.png,LEFT,LEFT,LEFT,LEFT,GO
town7_011165.png,LEFT,LEFT,LEFT,LEFT,GO
town7_011184.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_011187.png,RIGHT,RIGHT,RIGHT,LEFT,GO
town7_011201.png,LEFT,LEFT,LEFT,LEFT,GO
town7_011202.png,LEFT,LEFT,LEFT,LEFT,GO
town7_011204.png,LEFT,LEFT,LEFT,LEFT,GO
town7_011205.png,LEFT,LEFT,LEFT,LEFT,GO
town7_011313.png,GO,GO,GO,GO,STOP
town7_011340.png,RIGHT,LEFT,RIGHT,RIGHT,GO
town7_011342.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_011400.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_011401.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_011446.png,GO,GO,GO,GO,STOP
town7_011447.png,GO,GO,STOP,GO,STOP
town7_011525.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_011531.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_011539.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_011545.png,RIGHT,GO,GO,RIGHT,GO
town7_011627.png,LEFT,LEFT,LEFT,LEFT,GO
town7_011628.png,LEFT,LEFT,LEFT,LEFT,GO
town7_011634.png,LEFT,LEFT,LEFT,LEFT,GO
town7_011636.png,LEFT,LEFT,LEFT,LEFT,GO
town7_011637.png,LEFT,LEFT,LEFT,LEFT,GO
town7_011814.png,LEFT,LEFT,LEFT,LEFT,GO
town7_011819.png,LEFT,LEFT,LEFT,LEFT,GO
town7_011855.png,STOP,STOP,STOP,STOP,GO
town7_011860.png,STOP,STOP,STOP,STOP,GO
town7_011862.png,STOP,STOP,STOP,STOP,GO
town7_011864.png,STOP,STOP,STOP,STOP,GO
town7_011870.png,STOP,STOP,STOP,STOP,GO
town7_011898.png,GO,STOP,GO,STOP,GO
town7_011912.png,LEFT,LEFT,LEFT,LEFT,GO
town7_011955.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_011958.png,LEFT,LEFT,LEFT,LEFT,GO
town7_011960.png,LEFT,LEFT,LEFT,LEFT,GO
town7_012032.png,LEFT,LEFT,LEFT,LEFT,GO
town7_012056.png,GO,GO,GO,GO,STOP
town7_012060.png,GO,GO,GO,GO,STOP
town7_012061.png,GO,GO,GO,GO,STOP
town7_012087.png,STOP,STOP,STOP,STOP,GO
town7_012090.png,LEFT,LEFT,LEFT,LEFT,GO
town7_012091.png,LEFT,LEFT,LEFT,LEFT,GO
town7_012094.png,LEFT,LEFT,LEFT,LEFT,GO
town7_012096.png,LEFT,LEFT,LEFT,LEFT,GO
